region,cell_phone_number,sim_activation_date,first_name,last_name,date_of_birth,source_system_name,source_priority,is_master_record
Port Elizabeth,700408017,2024-12-23,Roger,Pritchard,17 12 1998,BlueMobile,2,True
Cape Town,700498064,2023-10-05,Sithembiso,Sabelo,02 01 1961,BlueMobile,2,True
Soshanguve,700536653,2025-06-03,Thabani,Phewa,20 10 1960,BlueMobile,2,True
Soshanguve,701422836,2024-10-09,Erin,Carlson,10 10 1965,BlueMobile,2,True
Cape Town,702126483,2023-11-22,Margaret,Wright,11 06 1971,BlueMobile,2,True
Johannesburg,702983213,2024-02-26,Bandile,Kweyama,18 08 2002,BlueMobile,2,True
Johannesburg,703402404,2024-02-05,Nomasonto,Ndandali,25 10 1970,BlueMobile,2,True
Tshwane,704465602,2024-09-08,Johw,Tran,22 09 2003,BlueMobile,2,True
Johannesburg,704552601,2025-02-24,Jill,Young,09 09 1990,BlueMobile,2,True
Cape Town,705295490,2025-01-24,Thabisile,Mtolo,22 02 1984,BlueMobile,2,True
Cape Town,705781665,2023-09-29,Zinhle,Dumisa,05 03 1980,BlueMobile,2,True
Ekurhuleni,706347171,2024-09-29,Nozizwe,Hlela,21 02 2006,BlueMobile,2,True
Johannesburg,706908401,2025-01-02,Siphesihle,Dinabantu,10 11 2005,BlueMobile,2,True
Durban,707578628,2024-09-29,Thembile,Madonsela,17 04 1941,BlueMobile,2,True
eThekwini,708030287,2024-05-12,Linda,Mellor,16 07 1987,BlueMobile,2,True
Port Elizabeth,708162164,2024-08-29,Sihawukele,Shoyisa,01 04 1956,BlueMobile,2,True
Johannesburg,709138730,2023-11-28,Mlungisi,Ndwandwe,03 12 1968,BlueMobile,2,True
Kimberley,709654582,2023-10-25,Eric,Collins,08 01 1941,BlueMobile,2,True
East London,710361466,2024-09-23,Ross,Silva,23 03 1964,BlueMobile,2,True
Port Elizabeth,711312486,2023-09-14,Vusumuzi,Maphindela,07 04 1974,BlueMobile,2,True
Polokwane,711572067,2024-10-04,Mitt,Clark,10 04 1957,BlueMobile,2,True
Ekurhuleni,712113164,2023-12-17,Ndumiso,Mkhumbuzi,17 05 1986,BlueMobile,2,True
Pretoria,712385865,2024-11-23,Nicole,Potter,23 11 1991,BlueMobile,2,True
Cape Town,712488797,2024-03-07,Amahle,Mdlanyoka,01 12 2004,BlueMobile,2,True
Johannesburg,712755488,2023-09-07,Mandla,Ngobisi,27 06 1963,BlueMobile,2,True
Ekurhuleni,713173581,2025-05-13,Julo,Howard,06 03 1944,BlueMobile,2,True
Cape Town,714185136,2025-04-15,Thuthukile,Mawewe,25 06 1996,BlueMobile,2,True
Cape Town,715586306,2024-04-01,Sandile,Ndonga,07 10 1958,BlueMobile,2,True
Pretoria,715983327,2024-10-06,Timothy,Davies,21 04 2000,BlueMobile,2,True
Ekurhuleni,717286902,2024-12-31,John,Ford,17 12 1957,BlueMobile,2,True
Cape Town,718061525,2025-06-03,Thembisile,Majola,16 10 1966,BlueMobile,2,True
Johannesburg,718983643,2025-03-05,Gemma,Ferguson,17 07 1959,BlueMobile,2,True
Johannesburg,719396045,2023-12-11,Nomathalente,Phingoshe,20 07 1958,BlueMobile,2,True
Ekurhuleni,719961318,2024-01-23,Ndumiso,Dinangwe,17 08 1979,BlueMobile,2,True
Cape Town,720029924,2024-05-28,Mnqo,Hlongwane,31 07 1974,BlueMobile,2,True
Johannesburg,720125760,2024-06-19,SimphiweyiNkosi,Sikobi,03 07 2002,BlueMobile,2,True
Johannesburg,720593040,2024-06-18,Sihawukele,Ndawo,06 05 1990,BlueMobile,2,True
Cape Town,720714523,2024-06-30,Sandra,Sellers,07 05 1980,BlueMobile,2,True
Klerksdorp,721198397,2025-02-06,Tomy,Warner,12 06 1965,BlueMobile,2,True
Durban,721340588,2023-12-22,Janice,Hopkins,20 04 1968,BlueMobile,2,True
Kaapstad,721345908,2024-04-26,Nomathalente,Gubhuza,18 10 1950,BlueMobile,2,True
