msisdn,week_start,weekly_revenue,total_events,sms_events,voice_events,is_qualifying,first_name,last_name,region,date_of_birth,sim_activation_date,source_system_name
27722330476,2025-07-14,797.1800000000001,21,1,12,1,,,,,,
27725138892,2025-07-14,740.19,26,1,18,1,,,,,,
27721198397,2025-07-14,729.44,23,1,17,1,Tom,Warner,Klerksdorp,,2025-02-06,ArrowMobile
27753079529,2025-07-14,658.45,22,1,17,1,,,,,,
27780470523,2025-07-14,657.88,23,2,11,1,Dean,Stevens,Durban,19 07 1991,2023-08-16,VMobile
27756759873,2025-07-14,649.0,27,1,15,1,Mlungisi,Vundla,Newcastle,05 07 1958,2024-10-06,VMobile
27723956054,2025-07-14,623.83,16,2,11,1,Thuthukile,Nyambose,Bloemfontein,03 09 1976,2024-08-05,VMobile
27734512854,2025-07-14,620.4100000000001,19,1,11,1,Londiwe,Ximba,East London,,2025-01-01,ArrowMobile
27723131974,2025-07-14,616.8900000000001,19,1,12,1,,,,,,
27790022877,2025-07-14,568.3000000000001,17,1,7,1,Zibuyile,Ndlandla,Vereeniging,,2024-06-07,ArrowMobile
27740678513,2025-07-14,563.1199999999999,22,1,13,1,Rita,Kaur,Johannesburg,,2024-12-10,ArrowMobile
27776010419,2025-07-14,549.9300000000001,17,2,9,1,,,,,,
27702088773,2025-07-14,546.7299999999999,19,1,8,1,Gugulethu,Dimbani,Pretoria,17 11 1976,2024-11-15,VMobile
27739163904,2025-07-14,531.1999999999999,23,1,11,1,,,,,,
27758901102,2025-07-14,505.28999999999996,25,0,17,1,Mthokozisi,Mthethwa,Johannesburg,,2024-01-10,ArrowMobile
27790900159,2025-07-14,505.26000000000005,27,0,14,1,Julie,Marsden,Cape Town,08 10 1963,2024-08-01,VMobile
27739579306,2025-07-14,504.13000000000005,23,0,13,1,Thoe,Pierce,Springs,,2024-05-24,ArrowMobile
27790250774,2025-07-14,501.82000000000005,16,1,10,1,S'fiso,Ndawonde,East London,03 02 1949,2025-06-08,VMobile
27758159426,2025-07-14,482.49,14,1,6,1,Rachel,Hayes,West Rand,17 06 1956,2024-05-06,VMobile
27754088048,2025-07-14,481.95,19,0,12,1,Thabani,Jamile,Nelspruit,,2024-08-18,ArrowMobile
27741797104,2025-07-14,480.98,14,1,9,1,,,,,,
27709188166,2025-07-14,477.21000000000004,16,2,9,1,Nozizwe,Mawewe,East London,,2023-08-13,ArrowMobile
27786674547,2025-07-14,471.45000000000005,17,3,6,1,Mlungisi,Sokhela,Ekurhuleni,06 04 1997,2025-03-10,VMobile
27718983643,2025-07-14,466.84,20,1,9,1,,,,,,
27784301965,2025-07-14,461.38,19,2,8,1,Andile,Thumbela,Soshanguve,,2023-10-27,ArrowMobile
27778478997,2025-07-14,457.99,21,1,10,1,Marcus,Morris,Ekurhuleni,29 09 1968,2024-10-01,VMobile
27724545371,2025-07-14,457.67,13,1,8,1,Zakhele,Mabika,Port Elizabeth,,2024-07-11,ArrowMobile
27790892604,2025-07-14,457.48999999999995,15,0,10,1,Dumisile,Mazwi,Bloemfontein,,2025-04-23,ArrowMobile
27743282991,2025-07-14,454.6399999999999,22,2,7,1,,,,,,
27748057905,2025-07-14,450.42999999999995,22,2,12,1,,,,,,
27749951541,2025-07-14,450.4100000000001,23,1,15,1,,,,,,
27763355406,2025-07-14,446.71000000000004,19,0,9,1,Heather,Thompson,Port Elizabeth,17 03 1989,2024-01-15,VMobile
